Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 21:00:00+00:00,"Una forma de conmemorar este #8DeMarzo es impulsando la igualdad desde nuestro espacios. 
¡Súmate!
#DiaInternacionalDeLaMujer https://t.co/ZkoxThV7gv",SeMujeresEdomex,18361,0,4,14,0,421.0,es
"['Edoméx', '8DeMarzo', 'DiaInternacionalDeLaMujer']",2023-03-08 18:52:29+00:00,"¡En el #Edoméx estamos comprometidos con las mujeres!
#8DeMarzo #DiaInternacionalDeLaMujer",SeMujeresEdomex,18361,0,15,25,1,661.0,es
"['DíaInternacionalDeLaMujer', 'LaPaz']",2023-03-08 16:49:52+00:00,"🟣 En el #DíaInternacionalDeLaMujer el Gobernador @alfredodelmazo realiza la entrega de la Construcción de Ciudad Mujeres #LaPaz, refrendando su compromiso con la protección de los derechos de las mujeres mexiquenses.",SeMujeresEdomex,18361,0,16,25,0,678.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 16:00:26+00:00,"💜🇲🇽| Conocer la historia mexicana en búsqueda de derechos, es dar voz a las pioneras que lucharon por la igualdad de género. 

#8DeMarzo #DíaInternacionalDeLaMujer https://t.co/DhRVFaEGJK",SeMujeresEdomex,18361,0,31,66,2,2303.0,es
"['8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 15:15:33+00:00,"El #8DeMarzo no es un día para felicitar a las mujeres, es un día para recordar a las que lucharon por sus derechos, a las que ya no están y reconocer a las que luchan ahora. 

#DíaInternacionalDeLaMujer https://t.co/NSrWccyiy1",SeMujeresEdomex,18361,1,52,96,6,3065.0,es
"['8M2023', 'SeMujeresEdoméx', 'DíaInternacionalDeLaMujer']",2023-03-08 13:00:02+00:00,"Este #8M2023, desde la #SeMujeresEdoméx nos unimos al llamado para construir un mundo digital más seguro, inclusivo y equitativo, hasta cerrar la brecha digital de género y crear un futuro mejor para las niñas, adolescentes y mujeres.  
#DíaInternacionalDeLaMujer https://t.co/DPE15tYo60",SeMujeresEdomex,18362,1,38,66,5,3935.0,es
"['8DeMarzo', 'CiudadMujeres', 'LaPaz', 'DDHH', 'SeMujeresEdoméx']",2023-03-08 20:00:02+00:00,"¡En el @Edoméx los derechos de las mujeres van al centro!
Este #8DeMarzo se inauguró #CiudadMujeres #LaPaz, un espacio que facilitará el acceso a servicios en materia preventiva, de seguridad y de justicia, con perspectiva de género y #DDHH.
#SeMujeresEdoméx https://t.co/J5n0LL9Czp",SeMujeresEdomex,18375,5,96,135,8,5720.0,es
['8DeMarzo'],2023-03-08 17:13:26+00:00,"Proteger los derechos de las mujeres es clave para construir un mundo más justo e igualitario; por ello, el Gobernador @alfredodelmazo refrenda su compromiso a través de la suma de esfuerzos y espacios para que todas puedan desarrollarse en igualdad de oportunidades. #8DeMarzo https://t.co/fGy14nrGEW",SeMujeresEdomex,18375,6850,16411,23828,8805,268000.0,es
"['CaixaBank', 'EmpoweringWomensTalent', 'Diversidad', 'Wengage', 'SemanaDeLaIgualdad', '8M2023', 'DíaInternacionalDeLaMujer']",2023-03-10 16:00:00+00:00,"🗣️ No te pierdas la entrevista que realizó @EquiposyTalento a Rosa Martínez, Artificial Intelligence Manager de #CaixaBank Tech, durante la #EmpoweringWomensTalent sobre liderazgo femenino #Diversidad #Wengage #SemanaDeLaIgualdad #8M2023 #DíaInternacionalDeLaMujer 💜 https://t.co/dRA8m5mUkb",caixabank,68145,0,3,9,0,1328.0,es
"['WONNOW', 'STEM', 'Wengage', 'SemanaDeLaIgualdad', 'DíaInternacionalDeLaMujer']",2023-03-09 09:23:50+00:00,"¡Ya puedes inscribirte en los Premios #WONNOW! 👉 https://t.co/cmwG39nhgD

Llega una nueva edición para reconocer a las mejores alumnas de grados relacionados con las #STEM. 📚🎓 ¿A qué esperas para participar?🖊

#Wengage #SemanaDeLaIgualdad #DíaInternacionalDeLaMujer",caixabank,68145,0,6,10,0,167936.0,es
"['DiaInternacionaldelaMujer', 'SemanaDeLaIgualdad', 'Igualdaddegenero', '8M2023', 'Wengage']",2023-03-08 09:33:13+00:00,"En nuestras oficinas all in one celebramos el #DiaInternacionaldelaMujer, y la #SemanaDeLaIgualdad,💜para dar visibilidad a la mujer en todos los ámbitos de la sociedad y para reconocer lo conseguido hasta ahora en #Igualdaddegenero.
La igualdad es cosa de todXs.
#8M2023 #Wengage https://t.co/sbr6vz8AYA",caixabank,68144,13,14,56,5,153652.0,es
"['SemanaDeLaIgualdad', 'diversidad', 'igualdaddegénero', '8M2023', 'Wengage']",2023-03-08 16:50:21+00:00,"Con motivo de la #SemanaDeLaIgualdad, celebramos en València el encuentro ‘Compromiso con Nosotras’ con charlas, actividades, debates y mesas redondas con el objetivo de promover la #diversidad y la #igualdaddegénero. #8M2023 #Wengage https://t.co/XuTv1t6lnF",caixabank,68146,1,1,8,0,865.0,es
"['CaixaBankTalks', '8M2023', 'Wengage', 'SemanaDeLaIgualdad']",2023-03-08 14:03:56+00:00,"📣Mañana no te pierdas nuestra #CaixaBankTalks🗣️: “Cuando te tomas el humor muy en serio”, de @p8ladas. #8M2023 #Wengage #SemanaDeLaIgualdad
🕟 19h
📍 On-line
Inscríbete 👉 https://t.co/5BDqdaRAHA https://t.co/o5Ra6qzGzk",caixabank,68146,0,2,7,1,2210.0,es
"['MicroBank', 'microcréditos', '8M2023', 'SemanaDeLaIgualdad', 'Wengage']",2023-03-08 12:14:34+00:00,"#MicroBank, nuestro banco social, concedió en 2022 un total de 3.592 #microcréditos a mujeres emprendedoras con un volumen de financiación de 49,3 MM€. ¿Qué perfil tienen las beneficiarias? Sigue leyendo 👉 https://t.co/R5voQH5AR7 #8M2023 #SemanaDeLaIgualdad #Wengage",caixabank,68146,0,1,3,0,732.0,es
"['8M2023', 'SemanaDeLaIgualdad', 'Wengage']",2023-03-08 10:31:22+00:00,"El estudio de @CABK_Dualiza de este mes, analiza la situación de la mujer en el mercado laboral. 1 de cada 2 mujeres contratadas tiene empleos con contratos temporales, por cuenta ajena o jornada laboral parcial, frente a 1 de cada 3 hombres. #8M2023 #SemanaDeLaIgualdad #Wengage",caixabank,68146,0,2,5,0,1079.0,es
"['8M2023', 'wengage']",2023-03-08 09:23:12+00:00,@VidaCaixa @MerceBrey @MasDiversity Unos tips super interesantes. ¡Feliz día de la mujer! #8M2023 #wengage 💜,caixabank,68146,0,0,1,0,77.0,es
"['8M2023', 'wengage']",2023-03-08 09:22:51+00:00,@CABK_Dualiza ¡Feliz día de la mujer! #8M2023 #wengage 💜,caixabank,68146,0,0,1,0,58.0,es
"['Wengage', 'MujerCientífica', 'DíadelaMujer', '8M']",2023-03-07 09:25:17+00:00,@MicrosoftES Contentos de colaborar conjuntamente en los Premios WONNOW para impulsar el talento femenino en la ciencia y la tecnología 👏#Wengage #MujerCientífica #DíadelaMujer #8M,caixabank,68155,0,0,1,0,43.0,es
"['WONNOW', 'SemanaDeLaIgualdad', 'STEM', 'Wengage', 'MujerCientífica', 'DíadelaMujer', '8M']",2023-03-06 10:20:00+00:00,"¡Sexta edición de los Premios #WONNOW! En la #SemanaDeLaIgualdad de CaixaBank, queremos destacar el papel de las mujeres en la ciencia y la tecnología reconociendo a las mejores alumnas #STEM. Más info👉 https://t.co/42yNyVQReH

#Wengage #MujerCientífica #DíadelaMujer #8M https://t.co/CHoxIIcUCp",caixabank,68155,2,14,46,4,1110981.0,es
['DiaInternacionalDeLaMujer'],2023-03-10 17:00:03+00:00,"La responsabilidad de las tareas diarias siempre debe ser compartida. Súmese a la campaña ""Cuidados compartidos, sociedades más justas"" que impulsamos desde la iniciativa @WEEMesoamerica  junto con @USAIDMX @USAIDGuate @USAIDHonduras   #DiaInternacionalDeLaMujer",RnfrstAll_Latin,14034,0,1,5,0,301.0,es
"['Peru', 'DiaInternacionalDeLaMujer', 'AlianzaParaLosPaisajes', 'Clarmondial']",2023-03-09 16:20:17+00:00,"#Peru #DiaInternacionalDeLaMujer La iniciativa #AlianzaParaLosPaisajes, continúa brindando asistencia técnica, fortaleciendo capacidades y visibilizando el esfuerzo de miles de mujeres y lideresas que habitan en los paisajes @USAID @CDP @ConservationOrg #Clarmondial https://t.co/IeL2FoFOeV",RnfrstAll_Latin,14034,0,2,8,0,454.0,es
"['SomosRainforestAlliance', 'DíaInternacionalDeLaMujer']",2023-03-08 18:00:00+00:00,"#SomosRainforestAlliance y queremos ser una organización diversa, equitativa e inclusiva: el 56% de nuestro staff en Mesoamérica y el 66% de nuestro staff en Suramérica está integrado por mujeres, líderes en sus campos. #DíaInternacionalDeLaMujer https://t.co/hUNxZJoQGR",RnfrstAll_Latin,14034,0,1,18,0,550.0,es
