Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
['DiaInternacionalDeLaMujer'],2023-03-07 22:14:11+00:00,"“Ya no estoy aceptando las cosas que no puedo cambiar. Estoy cambiando las cosas que no puedo aceptar”/Ángela Davis 

#DiaInternacionalDeLaMujer https://t.co/fbP7MKSGoy",DeniseDresserG,4644136,144,253,1289,16,65174.0,es
['DiaInternacionalDeLaMujer'],2023-03-06 00:55:08+00:00,"Va invitación a panel en el que participaré mañana sobre “Mujeres en la política”, con @tatclouthier. 6 de marzo, 1:00-2:30 pm, Universidad de Monterrey. Ahí nos vemos ✌️

#DiaInternacionalDeLaMujer https://t.co/nQHg4UJdVv",DeniseDresserG,4644136,46,54,381,3,32762.0,es
"['8M2023', 'Marcha8M', 'DiaInternacionaDeLaMujer']",2023-03-08 23:20:53+00:00,"Mis alumnas marchando por sus derechos 👊💜

#8M2023
#Marcha8M
#DiaInternacionaDeLaMujer https://t.co/kAmjO6VCCu",DeniseDresserG,4644143,494,479,3978,29,201129.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 15:54:46+00:00,"#DíaInternacionalDeLaMujer | ¡Queremos leerlos! 💜

Menciona aquí abajo a las mujeres venezolanas mas destacadas del mundo del deporte 👇. https://t.co/CkJK2IQ785",MeridianoTV,3102532,0,2,2,0,1257.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 14:14:49+00:00,#DíaInternacionalDeLaMujer | Las principales mujeres en el deporte venezolano en la actualidad https://t.co/e0a8MwkICb,MeridianoTV,3102534,0,2,3,0,1607.0,es
"['DiaInternacionalDeLaMujer', 'MujeresImparables', 'UnstoppableWomen', 'QueNadaTeDetenga', 'JuntosImparables', 'ElPoderEnTi']",2023-03-08 14:00:38+00:00,"Es momento de creer en ti, es hora de decirte palabras que te impulsen y borrar las que te frenan. “Yo puedo, nací para esto, soy imparable”. Repítelo, compártelo, vívelo. Celebrémonos en el #DiaInternacionalDeLaMujer, este mes y siempre. 

@_mujerimparable @TelemundoEPET 

#MujeresImparables #UnstoppableWomen #QueNadaTeDetenga #JuntosImparables #ElPoderEnTi",Telemundo,3139516,3,2,15,0,4084.0,es
"['JuntosImparables', 'ElPoderEnTi', 'MesDeLaMujer', 'DiaDeLaMujer']",2023-03-09 16:39:36+00:00,"Fortalece tu autoestima este mes de la mujer y cambia el juego. Cree en ti misma, eres fuerte, hermosa y capaz de lograr todo lo que te propongas.

@_mujerimparable

#MujeresImparables#UnstoppableWomen #JuntosImparables #ElPoderEnTi @elpoderenti #MesDeLaMujer #DiaDeLaMujer https://t.co/Rfs3btwqEk",Telemundo,3139621,0,1,10,0,4305.0,es
"['Famosos', 'DiaDeLaMujer', '8M']",2023-03-08 18:31:09+00:00,"@alixaspe y las chicas de @lamesacaliente nos demuestran que cuando una mujer cree en sí misma, no hay nada que la detenga de lograr sus sueños 💪☺💜

#Famosos #DiaDeLaMujer #8M https://t.co/YwZOQazcNe",Telemundo,3139631,1,1,2,0,162.0,es
['DiaInternacionalDeLaMujer'],2023-03-09 02:15:11+00:00,No se me ocurre una mejor manera para celebrar este #DiaInternacionalDeLaMujer que cantándoles un fragmento de este “Testimonio” del Maestro @JuanLuisGuerra Feliz día MUJERES! Gracias por tanto❤️ https://t.co/PzZZnN3RXV,Fonseca,4122954,8,38,390,9,22783.0,es
"['HoyEnLaUNAM', 'DíaInternacionalDeLaMujer', '8M', 'IgualdadDeGéneroUNAM']",2023-03-09 14:24:07+00:00,"#HoyEnLaUNAM Especialistas se reúnen en el @c3unam para reflexionar sobre los riesgos y cuidados en torno a la salud que viven los cuerpos femeninos, en el marco del #DíaInternacionalDeLaMujer. #8M &gt; https://t.co/XBoDDmbGoS
#IgualdadDeGéneroUNAM https://t.co/UjCcxC7N5h",UNAM_MX,3433090,2,7,46,0,15071.0,es
"['8M', 'OrgulloUNAM', 'UNAMGlobalTV', 'DíaInternacionalDeLaMujer', 'IgualdadDeGéneroUNAM']",2023-03-09 03:30:00+00:00,"#8M Hombres y mujeres deben tener los mismos derechos intelectuales y civiles: Matilde Montoya, pionera del feminismo en México y #OrgulloUNAM. Conoce en #UNAMGlobalTV su historia y de otras mujeres. #DíaInternacionalDeLaMujer. 👇
#IgualdadDeGéneroUNAM
https://t.co/UlxPgtTER1",UNAM_MX,3433090,1,12,51,0,7693.0,es
"['8M', 'PlaylistUNAM', 'DíaInternacionalDeLaMujer']",2023-03-09 02:00:06+00:00,#8M El poder de muchas voces femeninas está en su arte. En la #PlaylistUNAM escucha a más de 50 importantes cantantes y compositoras. #DíaInternacionalDeLaMujer &gt; https://t.co/PbtG14Qu9I https://t.co/iZ1s5iItdJ,UNAM_MX,3433090,1,22,78,1,8120.0,es
"['DíaInternacionalDeLaMujer', '8M', 'IgualdadDeGéneroUNAM']",2023-03-09 01:30:00+00:00,"""Ser editora en la UNAM es un privilegio que me honra"". En el #DíaInternacionalDeLaMujer, universitarias comparten su orgullo al formar parte de nuestra Universidad. #8M 👇
#IgualdadDeGéneroUNAM
https://t.co/TmjrxvBeGf",UNAM_MX,3433090,0,4,25,0,6019.0,es
